date,home,away,tournament,pick,actual,pH,pD,pA,brier
2022-06-09,SUI,ESP,UEFA Nations League,A,A,0.2876,0.2639,0.4485,0.4564
2022-06-10,AUT,FRA,UEFA Nations League,A,D,0.0417,0.1050,0.8533,1.5310
2022-06-12,ESP,CZE,UEFA Nations League,H,H,0.8099,0.1307,0.0594,0.0567
2022-06-12,SUI,POR,UEFA Nations League,A,H,0.1341,0.2030,0.6628,1.2303
2022-06-12,NOR,SWE,UEFA Nations League,H,H,0.4451,0.2644,0.2906,0.4623
2022-06-13,FRA,CRO,UEFA Nations League,H,A,0.9457,0.0429,0.0114,1.8737
2022-09-22,FRA,AUT,UEFA Nations League,H,H,0.8430,0.1112,0.0457,0.0391
2022-09-24,CZE,POR,UEFA Nations League,A,A,0.1040,0.1791,0.7169,0.1231
2022-09-24,ESP,SUI,UEFA Nations League,H,A,0.6807,0.1955,0.1238,1.2693
2022-09-25,AUT,CRO,UEFA Nations League,H,A,0.4131,0.2679,0.3190,0.7061
2022-09-25,NED,BEL,UEFA Nations League,H,H,0.6151,0.2215,0.1634,0.2239
2022-09-26,ENG,GER,UEFA Nations League,H,D,0.6129,0.2222,0.1648,1.0077
2022-09-27,POR,ESP,UEFA Nations League,H,A,0.5989,0.2271,0.1740,1.0925
2022-09-27,SUI,CZE,UEFA Nations League,H,H,0.7943,0.1395,0.0662,0.0662
2022-11-20,QAT,ECU,FIFA World Cup,H,A,0.3810,0.2697,0.3493,0.6414
2022-11-21,SEN,NED,FIFA World Cup,A,A,0.0308,0.0962,0.8730,0.0263
2022-11-21,ENG,IRN,FIFA World Cup,H,H,0.7108,0.1909,0.0983,0.1298
2022-11-22,ARG,KSA,FIFA World Cup,H,A,0.8697,0.0984,0.0319,1.7032
2022-11-22,FRA,AUS,FIFA World Cup,H,H,0.9185,0.0645,0.0170,0.0111
2022-11-23,GER,JPN,FIFA World Cup,A,A,0.3109,0.2869,0.4022,0.5364
2022-11-23,MAR,CRO,FIFA World Cup,A,D,0.3134,0.2871,0.3995,0.7660
2022-11-23,BEL,CAN,FIFA World Cup,H,H,0.5808,0.2463,0.1729,0.2663
2022-11-24,URU,KOR,FIFA World Cup,H,D,0.4325,0.2834,0.2841,0.7812
2022-11-24,POR,GHA,FIFA World Cup,H,H,0.8877,0.0862,0.0261,0.0207
2022-11-25,QAT,SEN,FIFA World Cup,H,A,0.4776,0.2592,0.2632,0.8382
2022-11-25,NED,ECU,FIFA World Cup,H,D,0.6846,0.2036,0.1118,1.1154
2022-11-25,ENG,USA,FIFA World Cup,H,D,0.5517,0.2560,0.1923,0.8949
2022-11-26,ARG,MEX,FIFA World Cup,H,H,0.6790,0.2062,0.1148,0.1588
2022-11-26,TUN,AUS,FIFA World Cup,H,A,0.4004,0.2871,0.3126,0.7153
2022-11-27,ESP,GER,FIFA World Cup,H,D,0.6564,0.2164,0.1271,1.0611
2022-11-27,BEL,MAR,FIFA World Cup,H,A,0.5469,0.2575,0.1956,1.0124
2022-11-27,CRO,CAN,FIFA World Cup,H,H,0.4996,0.2705,0.2299,0.3765
2022-11-28,BRA,SUI,FIFA World Cup,H,H,0.6660,0.2122,0.1218,0.1714
2022-11-28,KOR,GHA,FIFA World Cup,H,A,0.6404,0.2233,0.1363,1.2061
2022-11-28,POR,URU,FIFA World Cup,H,H,0.6355,0.2254,0.1391,0.2030
2022-11-29,ECU,SEN,FIFA World Cup,H,A,0.5625,0.2525,0.1850,1.0444
2022-11-29,QAT,NED,FIFA World Cup,A,A,0.0226,0.0698,0.9075,0.0139
